Luật | Luật Bảo Vệ Môi Trường 2020 , số 72/2020/QH14 | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-so-72-2020-QH14-Bao-ve-moi-truong-2020-431147.aspx
Luật | Luật tài nguyên, môi trường biển và hải đảo 2015 , số 82/2015/QH13 | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-tai-nguyen-moi-truong-bien-va-hai-dao-2015-282375.aspx
Nghị định | Nghị định 136/2025/NĐ-CP , của Chính phủ quy định phân quyền, phân cấp trong lĩnh vực nông nghiệp và môi trường | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-136-2025-ND-CP-phan-quyen-phan-cap-trong-linh-vuc-nong-nghiep-va-moi-truong-660612.aspx
Nghị định | Nghị định 131/2025/NĐ-CP , của Chính phủ quy định phân định thẩm quyền của chính quyền địa phương 02 cấp trong lĩnh vực quản lý Nhà nước của Bộ Nông nghiệp và Môi trường | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-131-2025-ND-CP-phan-dinh-tham-quyen-chinh-quyen-02-cap-linh-vuc-quan-ly-Bo-Nong-nghiep-660659.aspx
Nghị định | Nghị định 119/2025/NĐ-CP , của Chính phủ sửa đổi, bổ sung một số điều của Nghị định 06/2022/NĐ-CP ngày 07/01/2022 của Chính phủ quy định giảm nhẹ phát thải khí nhà kính và bảo vệ tầng ô-dôn | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-119-2025-ND-CP-sua-doi-Nghi-dinh-06-2022-ND-CP-giam-nhe-phat-thai-khi-nha-kinh-625021.aspx
Nghị định | Nghị định 65/2025/NĐ-CP , của Chính phủ sửa đổi, bổ sung một số điều của Nghị định 40/2016/NĐ-CP ngày 15/5/2016 của Chính phủ quy định chi tiết thi hành một số điều của Luật Tài nguyên, môi trường biển và hải đảo và Nghị định 11/2021/NĐ-CP ngày 10/02/2021 của Chính phủ quy định việc giao các khu vực biển nhất định cho tổ chức, cá nhân khai thác, sử dụng tài nguyên biển | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-65-2025-ND-CP-sua-doi-Nghi-dinh-40-2016-ND-CP-huong-dan-Luat-Tai-nguyen-647463.aspx
Nghị định | Nghị định 153/2024/NĐ-CP , của Chính phủ quy định phí bảo vệ môi trường đối với khí thải | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-153-2024-ND-CP-phi-bao-ve-moi-truong-doi-voi-khi-thai-575467.aspx
Nghị định | Nghị định 34/2024/NĐ-CP , của Chính phủ quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm bằng phương tiện giao thông cơ giới đường bộ và phương tiện thủy nội địa | https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-34-2024-ND-CP-Danh-muc-hang-hoa-nguy-hiem-van-chuyen-bang-phuong-tien-thuy-noi-dia-604804.aspx
Nghị định | Nghị định 74/2023/NĐ-CP , của Chính phủ sửa đổi, bổ sung một số điều của các Nghị định quy định liên quan đến phân cấp giải quyết thủ tục hành chính trong lĩnh vực hàng hải | https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-74-2023-ND-CP-sua-doi-Nghi-dinh-phan-cap-giai-quyet-thu-tuc-hanh-chinh-linh-vuc-hang-hai-581998.aspx
Nghị định | Nghị định 27/2023/NĐ-CP , của Chính phủ quy định phí bảo vệ môi trường đối với khai thác khoáng sản | https://thuvienphapluat.vn/van-ban/Thue-Phi-Le-Phi/Nghi-dinh-27-2023-ND-CP-phi-bao-ve-moi-truong-doi-voi-khai-thac-khoang-san-568198.aspx
Nghị định | Nghị định 42/2022/NĐ-CP , của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực bảo vệ môi trường | https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-dinh-42-2022-ND-CP-cung-cap-thong-tin-dich-vu-cong-truc-tuyen-tren-moi-truong-mang-518831.aspx
Nghị định | Nghị định 08/2022/NĐ-CP , của Chính phủ về việc quy định chi tiết một số điều của Luật Bảo vệ môi trường | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-08-2022-ND-CP-huong-dan-Luat-Bao-ve-moi-truong-479457.aspx
Nghị định | Nghị định 06/2022/NĐ-CP , của Chính phủ về việc quy định giảm nhẹ phát thải khí nhà kính và bảo vệ tầng ô-dôn | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-06-2022-ND-CP-giam-nhe-phat-thai-khi-nha-kinh-va-bao-ve-tang-o-don-500104.aspx
Nghị định | Nghị định 54/2021/NĐ-CP , của Chính phủ quy định về đánh giá sơ bộ tác động môi trường | https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-54-2021-ND-CP-danh-gia-so-bo-tac-dong-moi-truong-475057.aspx
Nghị định | Nghị định 73/2017/NĐ-CP , của Chính phủ về thu thập, quản lý, khai thác và sử dụng thông tin, dữ liệu tài nguyên và môi trường | https://thuvienphapluat.vn/van-ban/Bat-dong-san/Nghi-dinh-73-2017-ND-CP-quan-ly-khai-thac-su-dung-thong-tin-du-lieu-tai-nguyen-moi-truong-320925.aspx
